Product Name,Brand,Storage,Color,New Price,Old Price,Savings,id
A155F Galaxy A15 Dual SIM 128GB 4GB RAM,samsung,storage 128 GB,ram 4 GB,7100.00 currency,8520.00 currency,youSave 1420.00 currency,16103
A155F Galaxy A15 Dual SIM 128GB 4GB RAM,samsung,storage 128 GB,ram 4 GB,7100.00 currency,8520.00 currency,youSave 1420.00 currency,16106
A155F Galaxy A15 Dual SIM 128GB 4GB RAM,samsung,storage 128 GB,ram 4 GB,7100.00 currency,8520.00 currency,youSave 1420.00 currency,16101
A057F Galaxy A05s Dual SIM 128GB 6GB RAM 6.7 black,samsung,storage 128 GB,ram 6 GB,6990.00 currency,8388.00 currency,youSave 1398.00 currency,16062
A057F Galaxy A05s Dual SIM 128GB 6GB RAM 6.7 SILVER,samsung,storage 128 GB,ram 6 GB,6990.00 currency,8388.00 currency,youSave 1398.00 currency,16064
A055F Galaxy A05 Dual SIM 128GB 6GB RAM 6.7 black,samsung,storage 128 GB,ram 6 GB,6900.00 currency,8280.00 currency,youSave 1380.00 currency,16050
A055F Galaxy A05 Dual SIM 128GB 6GB RAM 6.7 SILVER,samsung,storage 128 GB,ram 6 GB,6900.00 currency,8280.00 currency,youSave 1380.00 currency,16052
A057F Galaxy A05s Dual SIM 128GB 4GB RAM 6.7 SILVER,samsung,storage 128 GB,ram 4 GB,6500.00 currency,7800.00 currency,youSave 1300.00 currency,16060
A057F Galaxy A05s Dual SIM 128GB 4GB RAM 6.7 Light Violet,samsung,storage 128 GB,ram 4 GB,6500.00 currency,7800.00 currency,youSave 1300.00 currency,16061
A057F Galaxy A05s Dual SIM 128GB 4GB RAM 6.7 black,samsung,storage 128 GB,ram 4 GB,6500.00 currency,7800.00 currency,youSave 1300.00 currency,16051
M526BR Galaxy M52 5G Dual SIM 128GB 8GB RAM 6.7 مستعمل WHITE,samsung,storage 128 GB,ram 8 GB,6500.00 currency,7800.00 currency,youSave 1300.00 currency,16892
A235F Galaxy A23 Dual SIM 128GB 4GB RAM 6.6 مستعمل BLUE,samsung,storage 128 GB,ram 4 GB,5250.00 currency,6300.00 currency,youSave 1050.00 currency,16875
A505 Galaxy A50 Dual SIM 128GB 4GB RAM 6.4 LTE مستعمل black,samsung,storage 128 GB,ram 4 GB,3750.00 currency,4500.00 currency,youSave 750.00 currency,16330
